geocode,municipio,uf,disease,period,zone,cases
150140, Belém,15,VL,2015-2019,rural,2
150145, Belterra,15,VL,2015-2019,rural,6
150150, Benevides,15,VL,2015-2019,rural,0
150157, Bom Jesus do Tocantins,15,VL,2015-2019,rural,3
150170, Bragança,15,VL,2015-2019,rural,1
150175, Brejo Grande do Araguaia,15,VL,2015-2019,rural,2
150178, Breu Branco,15,VL,2015-2019,rural,5
150190, Bujaru,15,VL,2015-2019,rural,30
150200, Cachoeira do Arari,15,VL,2015-2019,rural,5
150210, Cametá,15,VL,2015-2019,rural,83
150215, Canaã dos Carajás,15,VL,2015-2019,rural,12
150220, Capanema,15,VL,2015-2019,rural,0
150230, Capitão Poço,15,VL,2015-2019,rural,1
150240, Castanhal,15,VL,2015-2019,rural,1
150270, Conceição do Araguaia,15,VL,2015-2019,rural,9
150275, Concórdia do Pará,15,VL,2015-2019,rural,14
150276, Cumaru do Norte,15,VL,2015-2019,rural,2
150277, Curionópolis,15,VL,2015-2019,rural,2
150293, Dom Eliseu,15,VL,2015-2019,rural,1
150295, Eldorado do Carajás,15,VL,2015-2019,rural,20
150304, Floresta do Araguaia,15,VL,2015-2019,rural,4
150307, Garrafão do Norte,15,VL,2015-2019,rural,11
150309, Goianésia do Pará,15,VL,2015-2019,rural,1
150320, Igarapé-Açu,15,VL,2015-2019,rural,2
150330, Igarapé-Miri,15,VL,2015-2019,rural,35
150345, Ipixuna do Pará,15,VL,2015-2019,rural,5
150350, Irituia,15,VL,2015-2019,rural,2
150360, Itaituba,15,VL,2015-2019,rural,1
150370, Itupiranga,15,VL,2015-2019,rural,5
150380, Jacundá,15,VL,2015-2019,rural,0
150390, Juruti,15,VL,2015-2019,rural,1
150400, Limoeiro do Ajuru,15,VL,2015-2019,rural,6
150405, Mãe do Rio,15,VL,2015-2019,rural,4
150410, Magalhães Barata,15,VL,2015-2019,rural,0
150420, Marabá,15,VL,2015-2019,rural,15
150442, Marituba,15,VL,2015-2019,rural,0
150445, Medicilândia,15,VL,2015-2019,rural,1
150460, Mocajuba,15,VL,2015-2019,rural,11
150470, Moju,15,VL,2015-2019,rural,39
150480, Monte Alegre,15,VL,2015-2019,rural,3
150490, Muaná,15,VL,2015-2019,rural,1
150495, Nova Esperança do Piriá,15,VL,2015-2019,rural,1
150497, Nova Ipixuna,15,VL,2015-2019,rural,1
150506, Novo Repartimento,15,VL,2015-2019,rural,4
150520, Oeiras do Pará,15,VL,2015-2019,rural,33
150543, Ourilândia do Norte,15,VL,2015-2019,rural,0
150548, Pacajá,15,VL,2015-2019,rural,1
150549, Palestina do Pará,15,VL,2015-2019,rural,0
150550, Paragominas,15,VL,2015-2019,rural,7
150553, Parauapebas,15,VL,2015-2019,rural,22
150555, Pau D'Arco,15,VL,2015-2019,rural,7
150563, Piçarra,15,VL,2015-2019,rural,1
150570, Ponta de Pedras,15,VL,2015-2019,rural,8
150580, Portel,15,VL,2015-2019,rural,1
150600, Prainha,15,VL,2015-2019,rural,0
150610, Primavera,15,VL,2015-2019,rural,0
150613, Redenção,15,VL,2015-2019,rural,9
150616, Rio Maria,15,VL,2015-2019,rural,4
150618, Rondon do Pará,15,VL,2015-2019,rural,0
150619, Rurópolis,15,VL,2015-2019,rural,1
150630, Salvaterra,15,VL,2015-2019,rural,3
150635, Santa Bárbara do Pará,15,VL,2015-2019,rural,1
150650, Santa Izabel do Pará,15,VL,2015-2019,rural,1
150658, Santa Maria das Barreiras,15,VL,2015-2019,rural,0
150660, Santa Maria do Pará,15,VL,2015-2019,rural,2
150670, Santana do Araguaia,15,VL,2015-2019,rural,0
150680, Santarém,15,VL,2015-2019,rural,17
150715, São Domingos do Araguaia,15,VL,2015-2019,rural,8
150720, São Domingos do Capim,15,VL,2015-2019,rural,32
150730, São Félix do Xingu,15,VL,2015-2019,rural,3
150745, São Geraldo do Araguaia,15,VL,2015-2019,rural,6
150750, São João do Araguaia,15,VL,2015-2019,rural,6
150760, São Miguel do Guamá,15,VL,2015-2019,rural,1
150775, Sapucaia,15,VL,2015-2019,rural,0
150780, Senador José Porfírio,15,VL,2015-2019,rural,NA
150795, Tailândia,15,VL,2015-2019,rural,12
150800, Tomé-Açu,15,VL,2015-2019,rural,53
150808, Tucumã,15,VL,2015-2019,rural,0
150810, Tucuruí,15,VL,2015-2019,rural,2
150812, Ulianópolis,15,VL,2015-2019,rural,1
150820, Vigia,15,VL,2015-2019,rural,1
150835, Vitória do Xingu,15,VL,2015-2019,rural,1
150840, Xinguara,15,VL,2015-2019,rural,3
160030, Macapá,16,VL,2015-2019,rural,0
160040, Mazagão,16,VL,2015-2019,rural,1
170025, Abreulândia,17,VL,2015-2019,rural,1
