geocode,municipio,uf,disease,period,rural,urban,total
170730, Dueré,17,Dengue,2004-2008,13,226,239
170740, Esperantina,17,Dengue,2004-2008,71,200,271
170765, Figueirópolis,17,Dengue,2004-2008,13,178,191
170770, Filadélfia,17,Dengue,2004-2008,13,26,39
170820, Formoso do Araguaia,17,Dengue,2004-2008,20,372,392
170825, Fortaleza do Tabocão,17,Dengue,2004-2008,2,18,20
170830, Goianorte,17,Dengue,2004-2008,2,26,28
170900, Goiatins,17,Dengue,2004-2008,17,131,148
170930, Guaraí,17,Dengue,2004-2008,16,230,246
170950, Gurupi,17,Dengue,2004-2008,8,1826,1834
170980, Ipueiras,17,Dengue,2004-2008,1,4,5
171050, Itacajá,17,Dengue,2004-2008,1,58,59
171070, Itaguatins,17,Dengue,2004-2008,18,51,69
171090, Itapiratins,17,Dengue,2004-2008,4,40,44
171110, Itaporã do Tocantins,17,Dengue,2004-2008,7,33,40
171150, Jaú do Tocantins,17,Dengue,2004-2008,1,7,8
171180, Juarina,17,Dengue,2004-2008,5,21,26
171190, Lagoa da Confusão,17,Dengue,2004-2008,7,7,14
171200, Lajeado,17,Dengue,2004-2008,13,140,153
171215, Lavandeira,17,Dengue,2004-2008,1,7,8
171245, Luzinópolis,17,Dengue,2004-2008,5,26,31
171250, Marianópolis do Tocantins,17,Dengue,2004-2008,5,159,164
171270, Mateiros,17,Dengue,2004-2008,2,5,7
171280, Maurilândia do Tocantins,17,Dengue,2004-2008,12,38,50
171320, Miracema do Tocantins,17,Dengue,2004-2008,19,406,425
171330, Miranorte,17,Dengue,2004-2008,11,89,100
171360, Monte do Carmo,17,Dengue,2004-2008,7,48,55
171370, Monte Santo do Tocantins,17,Dengue,2004-2008,12,24,36
171395, Muricilândia,17,Dengue,2004-2008,1,21,22
171420, Natividade,17,Dengue,2004-2008,28,301,329
171430, Nazaré,17,Dengue,2004-2008,7,16,23
171488, Nova Olinda,17,Dengue,2004-2008,13,88,101
171500, Nova Rosalândia,17,Dengue,2004-2008,4,44,48
171510, Novo Acordo,17,Dengue,2004-2008,0,8,8
171515, Novo Alegre,17,Dengue,2004-2008,2,20,22
171525, Novo Jardim,17,Dengue,2004-2008,2,14,16
171550, Oliveira de Fátima,17,Dengue,2004-2008,1,5,6
172100, Palmas,17,Dengue,2004-2008,43,10856,10899
171380, Palmeiras do Tocantins,17,Dengue,2004-2008,5,3,8
171610, Paraíso do Tocantins,17,Dengue,2004-2008,44,2063,2107
171630, Pau D'Arco,17,Dengue,2004-2008,3,2,5
