geocode,municipio,uf,disease,period,rural,urban,total
170382, Cachoeirinha,17,CL,2004-2008,0,6,6
170384, Campos Lindos,17,CL,2004-2008,3,5,8
170386, Cariri do Tocantins,17,CL,2004-2008,0,2,2
170388, Carmolândia,17,CL,2004-2008,1,1,2
170389, Carrasco Bonito,17,CL,2004-2008,0,3,3
170390, Caseara,17,CL,2004-2008,20,12,32
170410, Centenário,17,CL,2004-2008,17,16,33
170510, Chapada da Natividade,17,CL,2004-2008,1,0,1
170460, Chapada de Areia,17,CL,2004-2008,0,1,1
170550, Colinas do Tocantins,17,CL,2004-2008,1,30,31
171670, Colméia,17,CL,2004-2008,2,9,11
170555, Combinado,17,CL,2004-2008,1,1,2
170600, Couto Magalhães,17,CL,2004-2008,19,13,32
170610, Cristalândia,17,CL,2004-2008,14,16,30
170625, Crixás do Tocantins,17,CL,2004-2008,4,0,4
170650, Darcinópolis,17,CL,2004-2008,9,3,12
170700, Dianópolis,17,CL,2004-2008,45,46,91
170710, Divinópolis do Tocantins,17,CL,2004-2008,9,12,21
170720, Dois Irmãos do Tocantins,17,CL,2004-2008,13,3,16
170730, Dueré,17,CL,2004-2008,12,3,15
170740, Esperantina,17,CL,2004-2008,4,8,12
170755, Fátima,17,CL,2004-2008,2,5,7
170770, Filadélfia,17,CL,2004-2008,2,4,6
170820, Formoso do Araguaia,17,CL,2004-2008,6,13,19
170825, Fortaleza do Tabocão,17,CL,2004-2008,5,9,14
170830, Goianorte,17,CL,2004-2008,10,7,17
170900, Goiatins,17,CL,2004-2008,9,3,12
170930, Guaraí,17,CL,2004-2008,15,88,103
170950, Gurupi,17,CL,2004-2008,1,33,34
171050, Itacajá,17,CL,2004-2008,15,20,35
171070, Itaguatins,17,CL,2004-2008,3,1,4
171090, Itapiratins,17,CL,2004-2008,8,2,10
171110, Itaporã do Tocantins,17,CL,2004-2008,5,4,9
171150, Jaú do Tocantins,17,CL,2004-2008,19,11,30
171190, Lagoa da Confusão,17,CL,2004-2008,13,15,28
171200, Lajeado,17,CL,2004-2008,4,3,7
171215, Lavandeira,17,CL,2004-2008,7,5,12
171240, Lizarda,17,CL,2004-2008,8,2,10
171245, Luzinópolis,17,CL,2004-2008,5,11,16
171250, Marianópolis do Tocantins,17,CL,2004-2008,19,20,39
171270, Mateiros,17,CL,2004-2008,1,0,1
171280, Maurilândia do Tocantins,17,CL,2004-2008,2,2,4
171320, Miracema do Tocantins,17,CL,2004-2008,11,29,40
171330, Miranorte,17,CL,2004-2008,2,16,18
171360, Monte do Carmo,17,CL,2004-2008,30,35,65
171370, Monte Santo do Tocantins,17,CL,2004-2008,2,4,6
171395, Muricilândia,17,CL,2004-2008,2,1,3
171430, Nazaré,17,CL,2004-2008,6,12,18
171488, Nova Olinda,17,CL,2004-2008,4,6,10
171500, Nova Rosalândia,17,CL,2004-2008,5,10,15
171510, Novo Acordo,17,CL,2004-2008,1,0,1
171515, Novo Alegre,17,CL,2004-2008,4,10,14
171525, Novo Jardim,17,CL,2004-2008,9,14,23
172100, Palmas,17,CL,2004-2008,14,99,113
171570, Palmeirante,17,CL,2004-2008,3,0,3
171380, Palmeiras do Tocantins,17,CL,2004-2008,2,1,3
171575, Palmeirópolis,17,CL,2004-2008,4,18,22
171610, Paraíso do Tocantins,17,CL,2004-2008,4,39,43
171620, Paranã,17,CL,2004-2008,3,0,3
171630, Pau D'Arco,17,CL,2004-2008,2,3,5
171650, Pedro Afonso,17,CL,2004-2008,8,22,30
171660, Peixe,17,CL,2004-2008,1,4,5
171665, Pequizeiro,17,CL,2004-2008,0,3,3
171700, Pindorama do Tocantins,17,CL,2004-2008,3,14,17
171720, Piraquê,17,CL,2004-2008,11,8,19
171750, Pium,17,CL,2004-2008,13,12,25
171780, Ponte Alta do Bom Jesus,17,CL,2004-2008,1,3,4
171790, Ponte Alta do Tocantins,17,CL,2004-2008,32,33,65
171800, Porto Alegre do Tocantins,17,CL,2004-2008,4,7,11
171820, Porto Nacional,17,CL,2004-2008,14,49,63
171830, Praia Norte,17,CL,2004-2008,3,4,7
171840, Presidente Kennedy,17,CL,2004-2008,2,20,22
171845, Pugmil,17,CL,2004-2008,2,2,4
171850, Recursolândia,17,CL,2004-2008,6,10,16
171855, Riachinho,17,CL,2004-2008,15,9,24
171865, Rio da Conceição,17,CL,2004-2008,2,5,7
171870, Rio dos Bois,17,CL,2004-2008,4,2,6
171875, Rio Sono,17,CL,2004-2008,12,3,15
171880, Sampaio,17,CL,2004-2008,0,2,2
171884, Sandolândia,17,CL,2004-2008,23,31,54
171886, Santa Fé do Araguaia,17,CL,2004-2008,6,12,18
171888, Santa Maria do Tocantins,17,CL,2004-2008,7,7,14
171889, Santa Rita do Tocantins,17,CL,2004-2008,1,1,2
171890, Santa Rosa do Tocantins,17,CL,2004-2008,6,1,7
172000, Santa Terezinha do Tocantins,17,CL,2004-2008,2,3,5
172010, São Bento do Tocantins,17,CL,2004-2008,8,3,11
172015, São Félix do Tocantins,17,CL,2004-2008,0,1,1
172020, São Miguel do Tocantins,17,CL,2004-2008,2,7,9
172025, São Salvador do Tocantins,17,CL,2004-2008,6,5,11
172030, São Sebastião do Tocantins,17,CL,2004-2008,0,2,2
172049, São Valério,17,CL,2004-2008,0,1,1
172065, Silvanópolis,17,CL,2004-2008,2,4,6
172080, Sítio Novo do Tocantins,17,CL,2004-2008,10,17,27
172090, Taguatinga,17,CL,2004-2008,16,26,42
172110, Tocantínia,17,CL,2004-2008,61,26,87
172120, Tocantinópolis,17,CL,2004-2008,11,32,43
172125, Tupirama,17,CL,2004-2008,2,3,5
172130, Tupiratins,17,CL,2004-2008,3,2,5
172208, Wanderlândia,17,CL,2004-2008,13,15,28
172210, Xambioá,17,CL,2004-2008,10,45,55
210005, Açailândia,21,CL,2004-2008,85,400,485
210020, Alcântara,21,CL,2004-2008,38,12,50
210040, Altamira do Maranhão,21,CL,2004-2008,16,24,40
210043, Alto Alegre do Maranhão,21,CL,2004-2008,35,71,106
210047, Alto Alegre do Pindaré,21,CL,2004-2008,111,18,129
210050, Alto Parnaíba,21,CL,2004-2008,6,7,13
210055, Amapá do Maranhão,21,CL,2004-2008,11,16,27
210060, Amarante do Maranhão,21,CL,2004-2008,95,54,149
210070, Anajatuba,21,CL,2004-2008,8,4,12
210087, Araguanã,21,CL,2004-2008,19,17,36
210095, Arame,21,CL,2004-2008,107,80,187
210110, Axixá,21,CL,2004-2008,91,10,101
210120, Bacabal,21,CL,2004-2008,1,13,14
210125, Bacabeira,21,CL,2004-2008,2,3,5
210130, Bacuri,21,CL,2004-2008,3,1,4
210135, Bacurituba,21,CL,2004-2008,0,1,1
210140, Balsas,21,CL,2004-2008,42,132,174
210160, Barra do Corda,21,CL,2004-2008,63,75,138
210170, Barreirinhas,21,CL,2004-2008,4,1,5
210177, Bela Vista do Maranhão,21,CL,2004-2008,12,6,18
210180, Benedito Leite,21,CL,2004-2008,6,3,9
210190, Bequimão,21,CL,2004-2008,11,1,12
210193, Bernardo do Mearim,21,CL,2004-2008,5,6,11
210197, Boa Vista do Gurupi,21,CL,2004-2008,2,9,11
210200, Bom Jardim,21,CL,2004-2008,84,35,119
210203, Bom Jesus das Selvas,21,CL,2004-2008,94,65,159
210207, Bom Lugar,21,CL,2004-2008,3,1,4
210210, Brejo,21,CL,2004-2008,1,0,1
210215, Brejo de Areia,21,CL,2004-2008,118,42,160
210220, Buriti,21,CL,2004-2008,1,0,1
210230, Buriti Bravo,21,CL,2004-2008,21,84,105
210232, Buriticupu,21,CL,2004-2008,257,263,520
210235, Buritirana,21,CL,2004-2008,20,31,51
210237, Cachoeira Grande,21,CL,2004-2008,23,10,33
210255, Campestre do Maranhão,21,CL,2004-2008,1,8,9
210260, Cândido Mendes,21,CL,2004-2008,41,44,85
210270, Cantanhede,21,CL,2004-2008,14,19,33
210275, Capinzal do Norte,21,CL,2004-2008,3,1,4
210280, Carolina,21,CL,2004-2008,25,28,53
210290, Carutapera,21,CL,2004-2008,28,27,55
210300, Caxias,21,CL,2004-2008,1,1,2
210310, Cedral,21,CL,2004-2008,37,5,42
210312, Central do Maranhão,21,CL,2004-2008,2,2,4
210315, Centro do Guilherme,21,CL,2004-2008,34,32,66
210317, Centro Novo do Maranhão,21,CL,2004-2008,64,21,85
210320, Chapadinha,21,CL,2004-2008,1,0,1
210325, Cidelândia,21,CL,2004-2008,20,17,37
210330, Codó,21,CL,2004-2008,80,92,172
210350, Colinas,21,CL,2004-2008,97,86,183
210360, Coroatá,21,CL,2004-2008,21,34,55
210370, Cururupu,21,CL,2004-2008,4,12,16
210375, Davinópolis,21,CL,2004-2008,8,13,21
210380, Dom Pedro,21,CL,2004-2008,17,26,43
210400, Esperantinópolis,21,CL,2004-2008,35,12,47
210405, Estreito,21,CL,2004-2008,15,20,35
210407, Feira Nova do Maranhão,21,CL,2004-2008,16,2,18
210408, Fernando Falcão,21,CL,2004-2008,17,3,20
210409, Formosa da Serra Negra,21,CL,2004-2008,47,12,59
210410, Fortaleza dos Nogueiras,21,CL,2004-2008,12,18,30
