geocode,municipio,uf,disease,period,rural,urban,total
150405, Mãe do Rio,15,VL,2015-2019,4,3,7
150410, Magalhães Barata,15,VL,2015-2019,0,1,1
150420, Marabá,15,VL,2015-2019,15,264,279
150442, Marituba,15,VL,2015-2019,0,2,2
150445, Medicilândia,15,VL,2015-2019,1,0,1
150460, Mocajuba,15,VL,2015-2019,11,6,17
150470, Moju,15,VL,2015-2019,39,9,48
150480, Monte Alegre,15,VL,2015-2019,3,2,5
150490, Muaná,15,VL,2015-2019,1,1,2
150495, Nova Esperança do Piriá,15,VL,2015-2019,1,1,2
150497, Nova Ipixuna,15,VL,2015-2019,1,3,4
150506, Novo Repartimento,15,VL,2015-2019,4,14,18
150520, Oeiras do Pará,15,VL,2015-2019,33,9,42
150543, Ourilândia do Norte,15,VL,2015-2019,0,7,7
150548, Pacajá,15,VL,2015-2019,1,0,1
150549, Palestina do Pará,15,VL,2015-2019,0,3,3
150550, Paragominas,15,VL,2015-2019,7,9,16
150553, Parauapebas,15,VL,2015-2019,22,136,158
150555, Pau D'Arco,15,VL,2015-2019,7,10,17
150563, Piçarra,15,VL,2015-2019,1,9,10
150570, Ponta de Pedras,15,VL,2015-2019,8,3,11
150580, Portel,15,VL,2015-2019,1,0,1
150600, Prainha,15,VL,2015-2019,0,1,1
150610, Primavera,15,VL,2015-2019,0,1,1
150613, Redenção,15,VL,2015-2019,9,244,253
150616, Rio Maria,15,VL,2015-2019,4,12,16
150618, Rondon do Pará,15,VL,2015-2019,0,1,1
150619, Rurópolis,15,VL,2015-2019,1,1,2
150630, Salvaterra,15,VL,2015-2019,3,2,5
150635, Santa Bárbara do Pará,15,VL,2015-2019,1,1,2
150650, Santa Izabel do Pará,15,VL,2015-2019,1,3,4
150658, Santa Maria das Barreiras,15,VL,2015-2019,0,7,7
150660, Santa Maria do Pará,15,VL,2015-2019,2,0,2
150670, Santana do Araguaia,15,VL,2015-2019,0,4,4
150680, Santarém,15,VL,2015-2019,17,15,32
150715, São Domingos do Araguaia,15,VL,2015-2019,8,26,34
150720, São Domingos do Capim,15,VL,2015-2019,32,2,34
150730, São Félix do Xingu,15,VL,2015-2019,3,5,8
150745, São Geraldo do Araguaia,15,VL,2015-2019,6,39,45
150750, São João do Araguaia,15,VL,2015-2019,6,6,12
150760, São Miguel do Guamá,15,VL,2015-2019,1,3,4
150775, Sapucaia,15,VL,2015-2019,0,2,2
150780, Senador José Porfírio,15,VL,2015-2019,NA,NA,1
150795, Tailândia,15,VL,2015-2019,12,9,21
150800, Tomé-Açu,15,VL,2015-2019,53,9,62
150808, Tucumã,15,VL,2015-2019,0,5,5
150810, Tucuruí,15,VL,2015-2019,2,10,12
150812, Ulianópolis,15,VL,2015-2019,1,5,6
150820, Vigia,15,VL,2015-2019,1,0,1
150835, Vitória do Xingu,15,VL,2015-2019,1,0,1
150840, Xinguara,15,VL,2015-2019,3,35,38
160030, Macapá,16,VL,2015-2019,0,1,1
160040, Mazagão,16,VL,2015-2019,1,0,1
170025, Abreulândia,17,VL,2015-2019,1,1,2
170030, Aguiarnópolis,17,VL,2015-2019,0,7,7
170035, Aliança do Tocantins,17,VL,2015-2019,0,2,2
170040, Almas,17,VL,2015-2019,0,1,1
