geocode,municipio,uf,disease,period,zone,cases
150747, São João de Pirabas,15,chagas,2004-2008,total,5
150796, Terra Alta,15,chagas,2004-2008,total,1
150830, Viseu,15,chagas,2004-2008,total,1
160040, Mazagão,16,chagas,2004-2008,total,1
170255, Augustinópolis,17,chagas,2004-2008,total,1
170290, Axixá do Tocantins,17,chagas,2004-2008,total,4
170740, Esperantina,17,chagas,2004-2008,total,1
171700, Pindorama do Tocantins,17,chagas,2004-2008,total,1
210110, Axixá,21,chagas,2004-2008,total,1
210510, Icatu,21,chagas,2004-2008,total,1
210542, Itinga do Maranhão,21,chagas,2004-2008,total,1
211240, Turiaçu,21,chagas,2004-2008,total,4
510325, Colniza,51,chagas,2004-2008,total,1
110094, Cujubim,11,chagas,2015-2019,total,1
110020, Porto Velho,11,chagas,2015-2019,total,1
120020, Cruzeiro do Sul,12,chagas,2015-2019,total,13
120030, Feijó,12,chagas,2015-2019,total,16
120032, Jordão,12,chagas,2015-2019,total,2
120033, Mâncio Lima,12,chagas,2015-2019,total,1
120035, Marechal Thaumaturgo,12,chagas,2015-2019,total,12
120039, Porto Walter,12,chagas,2015-2019,total,2
120042, Rodrigues Alves,12,chagas,2015-2019,total,3
120060, Tarauacá,12,chagas,2015-2019,total,2
130002, Alvarães,13,chagas,2015-2019,total,1
130020, Atalaia do Norte,13,chagas,2015-2019,total,1
130040, Barcelos,13,chagas,2015-2019,total,2
130050, Barreirinha,13,chagas,2015-2019,total,15
130068, Boa Vista do Ramos,13,chagas,2015-2019,total,1
130100, Carauari,13,chagas,2015-2019,total,18
130120, Coari,13,chagas,2015-2019,total,4
130140, Eirunepé,13,chagas,2015-2019,total,1
130160, Fonte Boa,13,chagas,2015-2019,total,1
130180, Ipixuna,13,chagas,2015-2019,total,1
130185, Iranduba,13,chagas,2015-2019,total,1
130220, Juruá,13,chagas,2015-2019,total,2
130240, Lábrea,13,chagas,2015-2019,total,8
130260, Manaus,13,chagas,2015-2019,total,11
